iter	Passed	Remaining
179	1217	5547
180	1225	5543
181	1235	5551
182	1241	5542
183	1249	5541
184	1255	5532
185	1265	5539
186	1270	5522
187	1274	5503
188	1281	5498
189	1287	5486
190	1300	5506
191	1306	5500
192	1321	5525
193	1327	5517
194	1333	5505
195	1337	5488
196	1344	5480
197	1349	5464
198	1353	5446
199	1365	5463
200	1375	5467
201	1383	5464
202	1386	5443
203	1393	5436
204	1396	5417
205	1400	5398
206	1404	5380
207	1410	5370
208	1413	5351
209	1417	5331
210	1421	5313
211	1426	5300
212	1429	5280
213	1432	5261
214	1435	5241
215	1441	5232
216	1444	5213
217	1448	5194
218	1451	5176
219	1457	5166
220	1460	5147
221	1463	5128
222	1466	5110
223	1473	5103
224	1476	5084
225	1479	5066
226	1482	5048
227	1488	5040
228	1491	5022
229	1494	5004
230	1497	4986
231	1504	4980
232	1507	4963
233	1510	4946
234	1514	4928
235	1518	4915
236	1522	4901
237	1525	4884
238	1528	4867
239	1532	4851
240	1537	4843
241	1541	4827
242	1544	4810
243	1547	4794
244	1554	4789
245	1557	4773
246	1560	4757
247	1566	4748
248	1572	4741
249	1577	4731
250	1581	4718
251	1585	4707
252	1589	4692
253	1592	4676
254	1595	4661
255	1603	4659
256	1606	4645
257	1610	4630
258	1616	4624
259	1619	4609
260	1622	4594
261	1626	4580
262	1632	4574
263	1636	4561
264	1639	4546
265	1642	4532
266	1648	4525
267	1651	4511
268	1654	4496
269	1657	4482
270	1665	4479
271	1669	4467
272	1673	4456
273	1677	4444
274	1682	4434
275	1685	4421
276	1688	4407
277	1691	4393
278	1697	4385
279	1700	4372
280	1703	4358
281	1706	4345
282	1712	4339
283	1716	4326
284	1719	4312
285	1722	4299
286	1728	4292
287	1731	4279
288	1734	4267
289	1737	4254
290	1742	4244
291	1746	4233
292	1749	4220
293	1752	4207
294	1755	4195
295	1761	4189
296	1764	4176
297	1767	4164
298	1770	4151
299	1776	4145
300	1779	4133
301	1782	4120
302	1786	4108
303	1792	4102
304	1795	4090
305	1798	4079
306	1802	4067
307	1808	4063
308	1811	4051
309	1814	4039
310	1817	4027
311	1824	4022
312	1827	4010
313	1830	3999
314	1833	3987
315	1837	3977
316	1841	3968
317	1845	3957
318	1848	3946
319	1851	3935
320	1856	3927
321	1860	3916
322	1863	3905
323	1866	3893
324	1872	3888
325	1875	3877
326	1877	3863
327	1880	3852
328	1883	3841
329	1889	3835
330	1892	3826
331	1896	3815
332	1900	3806
333	1905	3800
334	1909	3790
335	1913	3780
336	1919	3776
337	1923	3767
338	1927	3757
339	1930	3747
340	1936	3743
341	1940	3733
342	1944	3724
343	1952	3723
344	1957	3715
345	1961	3707
346	1972	3711
347	1978	3707
348	1988	3708
349	1994	3704
350	2008	3713
351	2016	3712
352	2023	3709
353	2034	3713
354	2051	3726
355	2058	3724
356	2072	3732
357	2079	3730
358	2084	3721
359	2089	3714
360	2098	3715
361	2105	3710
362	2112	3707
363	2117	3699
364	2121	3690
365	2125	3681
366	2132	3678
367	2137	3670
368	2145	3669
369	2152	3664
370	2156	3655
371	2162	3649
372	2166	3641
373	2172	3636
374	2181	3635
375	2189	3633
376	2196	3629
377	2201	3622
378	2206	3614
379	2214	3613
380	2219	3606
381	2230	3608
382	2234	3599
383	2238	3591
384	2245	3587
385	2250	3579
386	2256	3573
387	2262	3569
388	2266	3560
389	2270	3551
390	2275	3544
391	2279	3535
392	2282	3526
393	2286	3517
394	2293	3512
395	2297	3503
396	2300	3494
397	2305	3486
398	2309	3478
399	2312	3469
400	2316	3459
401	2319	3450
402	2324	3443
403	2328	3434
404	2331	3425
405	2335	3416
406	2342	3412
407	2346	3404
408	2350	3397
409	2354	3388
410	2358	3380
411	2362	3371
412	2368	3365
413	2371	3357
414	2375	3348
415	2378	3339
416	2385	3334
417	2389	3326
418	2392	3317
419	2396	3309
420	2400	3301
421	2404	3293
422	2408	3284
423	2411	3276
424	2415	3268
425	2419	3260
426	2423	3252
427	2427	3244
428	2432	3237
429	2435	3228
430	2439	3220
431	2444	3213
432	2448	3206
433	2452	3197
434	2455	3189
435	2459	3181
436	2463	3174
437	2467	3166
438	2471	3158
439	2475	3150
440	2480	3143
441	2483	3135
442	2488	3128
443	2493	3123
444	2497	3115
445	2520	3130
446	2526	3125
447	2530	3117
448	2534	3110
449	2538	3102
450	2544	3097
451	2548	3089
452	2552	3082
453	2558	3077
454	2562	3069
455	2567	3062
456	2571	3055
457	2578	3051
458	2583	3044
459	2589	3039
460	2593	3032
461	2597	3025
462	2601	3017
463	2609	3014
464	2613	3006
465	2616	2998
466	2622	2992
467	2625	2985
468	2629	2977
469	2633	2969
470	2638	2963
471	2642	2955
472	2646	2948
473	2649	2940
474	2654	2934
475	2658	2926
476	2661	2918
477	2665	2910
478	2670	2904
479	2674	2897
480	2678	2889
481	2681	2881
482	2687	2876
483	2690	2868
484	2694	2861
485	2698	2853
486	2702	2847
487	2706	2839
488	2710	2832
489	2713	2824
490	2719	2818
491	2722	2811
492	2726	2804
493	2730	2796
494	2736	2792
495	2740	2785
496	2745	2778
497	2750	2772
498	2754	2765
499	2757	2757
500	2761	2750
501	2767	2745
502	2771	2738
503	2774	2730
504	2778	2723
505	2783	2717
506	2787	2710
507	2791	2703
508	2795	2696
509	2799	2689
510	2803	2682
511	2807	2675
512	2810	2668
513	2816	2663
514	2820	2655
515	2823	2648
516	2828	2642
517	2832	2635
518	2836	2628
519	2839	2621
520	2844	2614
521	2848	2608
522	2852	2601
523	2855	2594
524	2863	2590
525	2867	2583
526	2871	2576
527	2874	2569
528	2879	2564
529	2883	2557
530	2887	2550
531	2890	2543
532	2897	2538
533	2900	2531
534	2904	2524
535	2909	2518
536	2913	2511
537	2916	2504
538	2920	2497
539	2926	2492
540	2929	2485
541	2933	2478
542	2936	2471
543	2943	2467
544	2946	2460
545	2950	2453
546	2954	2446
547	2959	2441
548	2963	2434
549	2967	2427
550	2971	2421
551	2976	2415
552	2980	2409
553	2984	2402
554	2990	2398
555	2995	2391
556	2999	2385
557	3005	2380
558	3009	2374
559	3012	2367
560	3016	2360
561	3021	2354
562	3025	2348
563	3028	2341
564	3032	2334
565	3037	2328
566	3040	2322
567	3044	2315
568	3048	2308
569	3054	2304
570	3057	2297
571	3061	2290
572	3065	2284
573	3070	2279
574	3074	2272
575	3078	2266
576	3082	2259
577	3086	2253
578	3090	2247
579	3093	2240
580	3098	2234
581	3103	2228
582	3106	2222
583	3110	2215
584	3117	2211
585	3121	2205
586	3125	2198
587	3132	2195
588	3136	2188
589	3140	2182
590	3144	2175
591	3149	2170
592	3153	2164
593	3156	2157
594	3160	2151
595	3165	2146
596	3169	2139
597	3173	2133
598	3177	2127
599	3182	2121
600	3185	2115
601	3189	2108
602	3195	2103
603	3199	2097
604	3203	2091
605	3206	2084
606	3212	2079
607	3216	2073
608	3220	2067
609	3223	2060
610	3228	2055
611	3231	2049
612	3235	2042
613	3239	2036
614	3245	2031
615	3249	2025
616	3253	2019
617	3260	2015
618	3264	2009
619	3268	2003
620	3272	1996
621	3277	1991
622	3280	1985
623	3284	1979
624	3289	1973
625	3295	1969
626	3299	1963
627	3303	1956
628	3310	1952
629	3313	1946
630	3318	1940
631	3326	1937
632	3330	1931
633	3334	1924
634	3340	1920
635	3344	1914
636	3351	1909
637	3357	1905
638	3361	1898
639	3364	1892
640	3368	1886
641	3375	1882
642	3380	1876
643	3383	1870
644	3390	1866
645	3394	1860
646	3399	1854
647	3406	1850
648	3410	1844
649	3414	1838
650	3419	1832
651	3423	1827
652	3427	1821
653	3431	1815
654	3437	1810
655	3441	1804
656	3445	1798
657	3449	1792
658	3462	1791
659	3469	1787
660	3473	1781
661	3477	1775
662	3481	1769
663	3488	1765
664	3494	1760
665	3503	1757
666	3510	1752
667	3518	1748
668	3522	1742
669	3526	1737
670	3533	1732
671	3537	1726
672	3541	1720
673	3544	1714
674	3550	1709
675	3554	1703
676	3558	1697
677	3561	1691
678	3567	1686
679	3571	1680
680	3577	1675
681	3583	1670
682	3587	1664
683	3590	1658
684	3597	1654
685	3600	1648
686	3604	1642
687	3608	1636
688	3614	1631
689	3618	1625
690	3622	1619
691	3626	1614
692	3631	1608
693	3635	1603
694	3639	1597
695	3645	1592
696	3649	1586
697	3653	1580
698	3657	1574
699	3662	1569
700	3666	1563
701	3670	1558
702	3674	1552
703	3680	1547
704	3684	1541
705	3687	1535
706	3693	1530
707	3697	1524
708	3701	1519
709	3709	1515
710	3713	1509
711	3717	1503
712	3721	1498
713	3729	1493
714	3733	1488
715	3737	1482
716	3743	1477
717	3747	1471
718	3751	1466
719	3754	1460
720	3759	1454
721	3762	1448
722	3766	1443
723	3770	1437
724	3778	1433
725	3782	1427
726	3785	1421
727	3790	1416
728	3794	1410
729	3798	1404
730	3802	1399
731	3807	1394
732	3811	1388
733	3816	1382
734	3823	1378
735	3828	1373
736	3831	1367
737	3835	1361
738	3840	1356
739	3844	1350
740	3849	1345
741	3857	1341
742	3862	1336
743	3873	1332
744	3878	1327
745	3886	1323
746	3893	1318
747	3898	1313
748	3906	1308
749	3923	1307
750	3928	1302
751	3938	1298
752	3943	1293
753	3950	1288
754	3956	1283
755	3965	1279
756	3973	1275
757	3979	1270
758	3985	1265
759	3989	1259
760	3993	1254
761	3999	1249
762	4002	1243
763	4006	1237
764	4010	1231
765	4016	1226
766	4020	1221
767	4023	1215
768	4027	1209
769	4033	1204
770	4036	1198
771	4041	1193
772	4048	1188
773	4053	1183
774	4057	1177
775	4065	1173
776	4069	1167
777	4073	1162
778	4079	1157
779	4083	1151
780	4087	1146
781	4094	1141
782	4098	1135
783	4102	1130
784	4106	1124
785	4112	1119
786	4116	1114
787	4119	1108
788	4123	1102
789	4128	1097
790	4131	1091
791	4135	1086
792	4140	1080
793	4144	1075
794	4148	1069
795	4151	1064
796	4155	1058
797	4161	1053
798	4164	1047
799	4168	1042
800	4174	1037
801	4178	1031
802	4181	1025
803	4185	1020
804	4191	1015
805	4195	1009
806	4199	1004
807	4202	998
808	4208	993
809	4212	988
810	4216	982
811	4222	977
812	4226	972
813	4229	966
814	4233	960
815	4238	955
816	4242	950
817	4245	944
818	4249	939
819	4255	934
820	4259	928
821	4262	923
822	4266	917
823	4272	912
824	4275	906
825	4279	901
826	4282	895
827	4289	891
828	4294	885
829	4298	880
830	4305	875
831	4309	870
832	4313	864
833	4318	859
834	4322	854
835	4326	848
836	4330	843
837	4335	838
838	4338	832
839	4342	827
840	4345	821
841	4352	816
842	4355	811
843	4359	805
844	4363	800
845	4368	795
846	4372	789
847	4376	784
848	4380	779
849	4384	773
850	4388	768
851	4390	762
852	4394	757
853	4400	752
854	4404	746
855	4408	741
856	4412	736
857	4417	731
858	4420	725
859	4424	720
860	4430	715
861	4434	710
862	4438	704
863	4442	699
864	4448	694
865	4451	688
866	4455	683
867	4459	678
868	4464	673
869	4468	667
870	4472	662
871	4476	657
872	4481	651
873	4484	646
874	4488	641
875	4492	635
876	4497	630
877	4501	625
878	4504	620
879	4509	614
880	4513	609
881	4517	604
882	4520	599
883	4526	593
884	4529	588
885	4533	583
886	4537	578
887	4543	573
888	4547	567
889	4550	562
890	4554	557
891	4560	552
892	4566	547
893	4569	541
894	4575	536
895	4580	531
896	4584	526
897	4587	521
898	4593	516
899	4596	510
900	4600	505
901	4606	500
902	4612	495
903	4615	490
904	4621	485
905	4624	479
906	4628	474
907	4632	469
908	4638	464
909	4642	459
910	4645	453
911	4649	448
912	4654	443
913	4658	438
914	4662	433
915	4665	427
916	4671	422
917	4675	417
918	4679	412
919	4686	407
920	4690	402
921	4695	397
922	4701	392
923	4705	387
924	4708	381
925	4712	376
926	4717	371
927	4721	366
928	4725	361
929	4729	355
930	4734	350
931	4738	345
932	4742	340
933	4746	335
934	4751	330
935	4754	325
936	4758	319
937	4762	314
938	4766	309
939	4770	304
940	4774	299
941	4778	294
942	4783	289
943	4786	283
944	4790	278
945	4794	273
946	4798	268
947	4802	263
948	4806	258
949	4810	253
950	4814	248
951	4817	242
952	4821	237
953	4825	232
954	4830	227
955	4833	222
956	4837	217
957	4841	212
958	4847	207
959	4851	202
960	4855	197
961	4861	192
962	4865	186
963	4868	181
964	4873	176
965	4879	171
966	4883	166
967	4887	161
968	4893	156
969	4897	151
970	4901	146
971	4905	141
972	4910	136
973	4914	131
974	4918	126
975	4922	121
976	4927	115
977	4931	110
978	4935	105
979	4941	100
980	4945	95
981	4948	90
982	4952	85
983	4958	80
984	4962	75
985	4966	70
986	4971	65
987	4975	60
988	4979	55
989	4982	50
990	4989	45
991	4993	40
992	4997	35
993	5002	30
994	5006	25
995	5010	20
996	5014	15
997	5020	10
998	5024	5
999	5027	0
