iter	Logloss
0	0.6890612785
1	0.6846693826
2	0.6803624166
3	0.6764114315
4	0.6721816249
5	0.6670949065
6	0.6623867471
7	0.6588526173
8	0.6546293368
9	0.6508676021
10	0.646561551
11	0.6429978049
12	0.6391126526
13	0.6356854033
14	0.6326912847
15	0.6293715537
16	0.6258672891
17	0.6224789732
18	0.6190309765
19	0.6158672112
20	0.6125815526
21	0.6095196664
22	0.6058986791
23	0.6020394384
24	0.5988027116
25	0.5955486726
26	0.5926753002
27	0.5898632134
28	0.586554524
29	0.5836813703
30	0.5812420789
31	0.578341077
32	0.5753090351
33	0.5723293329
34	0.570004763
35	0.567178242
36	0.5645361196
37	0.5621286104
38	0.5590239131
39	0.5565196752
40	0.5545756809
41	0.5517534452
42	0.5494092194
43	0.5464739659
44	0.5444538415
45	0.5432083525
46	0.5403194952
47	0.5372258079
48	0.5355477353
49	0.5327702975
50	0.5306759157
51	0.5280816018
52	0.525959904
53	0.5236455136
54	0.5213911791
55	0.5195865824
56	0.5172513702
57	0.515264571
58	0.5134139827
59	0.5116061448
60	0.5094150392
61	0.5076875055
62	0.5054144382
63	0.5037604874
64	0.502329284
65	0.5006826473
66	0.4985395683
67	0.4963004184
68	0.4942129718
69	0.4923818734
70	0.4905858617
71	0.4890549428
72	0.4871706612
73	0.4856244358
74	0.4836851834
75	0.4824430555
76	0.4804701201
77	0.4790976549
78	0.4782611742
79	0.476882038
80	0.4751359469
81	0.4732392676
82	0.4715667904
83	0.4699201163
84	0.4685206762
85	0.4667735745
86	0.4656288704
87	0.4643367212
88	0.463206793
89	0.4616894464
90	0.4603220906
91	0.4584300209
92	0.4568235077
93	0.4555234932
94	0.4543991939
95	0.4532815896
96	0.4518408829
97	0.4506197829
98	0.4494674742
99	0.4478869359
100	0.4462104802
101	0.4450932998
102	0.4437946774
103	0.4425798196
104	0.4412306741
105	0.4398945989
106	0.4385102439
107	0.4372856268
108	0.4358661724
109	0.4348453568
110	0.4334327207
111	0.4320774847
112	0.4311969706
113	0.4297551424
114	0.4289083822
115	0.4274592546
116	0.4266821324
117	0.4255583688
118	0.4239840952
119	0.4225137895
120	0.4215116318
121	0.420709495
122	0.4199244667
123	0.4187867933
124	0.4176846054
125	0.4167307571
126	0.415865778
127	0.4148319594
128	0.4137215014
129	0.4126755742
130	0.4111165589
131	0.4100359232
132	0.4091497594
133	0.4084313257
134	0.4074313827
135	0.4068853746
136	0.4060044385
137	0.404995576
138	0.4041477959
139	0.4034494337
140	0.4028102013
141	0.4019915271
142	0.4010733495
143	0.400057243
144	0.3992158245
145	0.3983878844
146	0.3974324884
147	0.3966280993
148	0.3959954095
149	0.3951090789
150	0.394062278
151	0.3932490121
152	0.392416411
153	0.3917666254
154	0.3907958483
155	0.3901722498
156	0.3892842612
157	0.38862651
158	0.3879497306
159	0.3870893537
160	0.386534842
161	0.3859892488
162	0.3854279629
163	0.3846859477
164	0.3841006574
165	0.3831396878
166	0.382475075
167	0.3817711013
168	0.3808570357
169	0.3798496322
170	0.3788553155
171	0.3782589382
172	0.3776785376
173	0.3769804577
174	0.3762025686
175	0.3754580801
176	0.3750882842
177	0.3745959642
178	0.3741673375
179	0.3736059758
180	0.3727274974
181	0.3719046937
182	0.3712870785
183	0.3707687789
184	0.3699449998
185	0.3694493849
186	0.3689223362
187	0.3682814875
188	0.3678220487
189	0.3673887788
190	0.3667427112
191	0.3659622265
192	0.3652789779
193	0.3644725143
194	0.3640750594
195	0.3637317392
196	0.3626676585
197	0.3619724041
198	0.361169972
199	0.3605300653
200	0.359744981
201	0.3590040915
202	0.3584751981
203	0.3576258196
204	0.3571122967
205	0.3566317177
206	0.356215906
207	0.3557029355
208	0.3549400456
209	0.3545406504
210	0.3539597248
211	0.3534618382
212	0.353001622
213	0.3523174193
214	0.3518253114
215	0.3512319396
216	0.3505116181
217	0.3498456479
218	0.3489401829
219	0.3485492134
220	0.3480857597
221	0.3476187693
222	0.3471641579
223	0.3466595252
224	0.3460781441
225	0.3455829953
226	0.3452028686
227	0.3447891655
228	0.3443660011
229	0.3437989723
230	0.3432896639
231	0.342906732
232	0.3420797075
233	0.3416405244
234	0.3412729463
235	0.3406841456
236	0.3398989596
237	0.3394685154
238	0.3389355232
239	0.3385706392
240	0.338219741
241	0.3378107464
242	0.3373357511
243	0.3366892473
244	0.3359452653
245	0.335718487
246	0.3353364281
247	0.3349051587
248	0.3343383749
249	0.3337705341
250	0.3335946919
251	0.3330680262
252	0.332728075
253	0.3323414455
254	0.3317709736
255	0.3314137263
256	0.3307992319
257	0.3300885116
258	0.3296386389
259	0.3290034104
260	0.3284938452
261	0.3282368972
262	0.3277641309
263	0.3272568593
264	0.3268540036
265	0.3260834196
266	0.3257094434
267	0.3251794011
268	0.3249424322
269	0.3244586738
270	0.3239676467
271	0.3234316086
272	0.3227943424
273	0.3223497041
274	0.322043296
275	0.3216523134
276	0.3212776758
277	0.3204992209
278	0.3201291435
279	0.3194278765
280	0.3191750484
281	0.3188706963
282	0.3186623359
283	0.3181860023
284	0.3178580747
285	0.3176017734
286	0.3173134466
287	0.3170209381
288	0.3166371513
289	0.3162737657
290	0.3157005063
291	0.3152799589
292	0.3151014624
293	0.3146740296
294	0.3143844243
295	0.314187341
296	0.3136414437
297	0.3132240807
298	0.3126995428
299	0.3122893987
300	0.3119688954
301	0.3114319746
302	0.3107762156
303	0.3105669762
